Chamaecyparis obtusa
Chamaerops humilis
Chamerion angustifolium
Chamerion spicatum
Chenopodium album
Chenopodium ambrosioides
Chenopodium botrys
Chenopodium multifidum
Chenopodium murale
Chenopodium olidum
Chenopodium vulvaria
Chloris arundinacea
Chloris barbata
Chloris consanguinea
Chloris dandyana
Chloris elata
Chloris polydactyla
Chorisa speciosa
Chorisia speciosa
Chrysanthemum cinerariaefolium
Chrysanthemum cinerariifolium
Chrysanthemum hortorum
Chrysanthemum indicum
Chrysanthemum leucanthemum
Chrysanthemum maximum
Chrysanthemum morifolium
Chrysanthemum segetum
Chrysanthemum spp
Chrysocoma nauseosa
Chrysothamnus nauseosus
Cinnamomum camphora
Citrus clementina
Citrus lemona
Citrus limon
Citrus limonum
Citrus sinensis
Cleome gynandra
Cleome pentaphylla
Clethropsis nitida
Cocos nucifera
Cocos plumosa
Cocos romanzoffiana
Corozo oleifera
Corylus avellana
Corylus heterophylla
Corymbia citriodora
Cosmos spp
Crataegus spp
Crataeva nurvala
Crateva nurvala
Crescentia pinnata
Crithodium urartu
Crocus sativus
Croton bonplandianum
Croton bonplandianus
Croton sparsiflorus
Cryptomeria japonica
Cupressus arizonica
Cupressus hartwegii
Cupressus lambertiana
Cupressus lindleyi
Cupressus lusitanica
Cupressus macrocarpa
Cupressus sempervirens
Cycas cicinalis
Cycas circinalis
Cycas undulata
Cyclachaena xanthifolia
Cyclamen persicum
Cylindropyrum cylindricum
Cynodon dactylon
Cynosurus cristatus
Cyperus esculentus
Cyperus rotundus
Cytisus scoparius
Dactylis glomerata
Dahlia spp
Delonix regia
Dendranthema grandiflorum
Dendranthema indicum
Dendranthema morifolium
Diplotaxis erucoides
Distichlis spicata
Distichlis stricta
Dodonaea ehrenbergii
Dodonaea elaeagnoides
Dodonaea eriocarpa
Dodonaea jamaicensis
Dodonaea microcarya
Dodonaea sandwicensis
Dodonaea spathulata
Dodonaea stenoptera
Dodonaea viscosa
Dolichandrone platycalyx
Dysphania ambrosioides
Echites scholaris
Echium lycopsis
Echium plantagineum
Ehretia aspera
Ehretia laevis
Elaeagnus angustifolia
Elaeis guineensis
Elaeis oleifera
Elymus condensatus
Elymus repens
Elymus smithii
Elymus triticoides
Elytrigia repens
Epilobium angustifolium
Eragrostis curvula
Erianthus repens
Erica vulgaris
Ericameria nauseosa
Ericameria nauseosus
Eucalyptus camaldulensis
Eucalyptus citriodora
Eucalyptus globulus
Eucalyptus insignis
Eucalyptus populifolia
Eucalyptus subulata
Eucalyptus tereticornis
Eucalyptus umbellatus
Eugenia caryophyllata
Eugenia caryophyllus
Eupatorium capillifolium
Eurotia lanata
Fagus americana
Fagus grandifolia
Fagus sylvatica
Festuca arundinacea
Festuca distachya
Festuca elatior
Festuca fenas
Festuca glauca
Festuca mediterranea
Festuca orientalis
Festuca phoenix
Festuca pratensis
Festuca rubra
Festuca sylvatica
Forsythia suspensa
Fragaria ananassa
Franseria acanthicarpa
Franseria confertiflora
Franseria deltoidea
Franseria dumosa
Franseria strigulosa
Fraxinus americana
Fraxinus angustifolia
Fraxinus biltmoreana
Fraxinus campestris
Fraxinus darlingtonii
Fraxinus excelsior
Fraxinus lanceolata
Fraxinus latifolia
Fraxinus lentiscifolia
Fraxinus oregona
Fraxinus parvifolia
Fraxinus pennsylvanica
Fraxinus rotundifolia
Fraxinus smallii
Fraxinus uhdei
Fraxinus velutina
Gaertneria tenuifolia
Gale palustris
Genista anglica
Geranium spp
Gerbera spp
Ginkgo biloba
Gladiolus spp
Glebionis segetum
Gnomonia elatior
Gymnothrix geniculata
Gymnotrix polystachya
Gynandropsis gynandra
Hedera helix
Helianthus annuus
Helictochloa pratensis
Helictotrichon pratense
Herpetica alata
Hesperocyparis macrocarpa
Heteropogon besukiensis
Heteropogon contortus
Heteropogon firmus
Heteropogon glaber
Heteropogon hirtus
Hibiscus moscheutos
Hicoria laciniosa
Hicoria tomentosa
Hippeastrum spp
Hipposelinum levisticum
Holcus contortus
Holcus lanatus
Holoptelea integrifolia
Hordeum sativum
Hordeum vulgare
Humulus japonicus
Humulus lupulus
Humulus scandens
Hyacinthus orientalis
Hymenoclea salsola
Hypericum perforatum
Imperata cylindrica
Imperata spontanea
In Silico
Ipomoea fistulosa
Iris glauca
Iris odoratissima
Iris pallida
Iva angustifolia
Iva annua
Iva axillaris
Iva ciliata
Iva xanthifolia
Jacobaea vulgaris
Jasminum spp
Juglans alba
Juglans californica
Juglans mandshurica
Juglans nigra
Juglans regia
Juniperus ashei
Juniperus communis
Juniperus knighti
Juniperus monosperma
Juniperus occidentalis
Juniperus osteosperma
Juniperus oxycedrus
Juniperus pinchotii
Juniperus rigida
Juniperus sabinoides
Juniperus scopulorum
Juniperus texensis
Juniperus virginiana
Justicia adhatoda
Kali tragus
Kali turgidum
Kigelia aethiopica
Kigelia africana
Kigelia pinnata
Kochia scoparia
Krascheninnikovia lanata
Kygelia Abyssinica
Kyllinga polyphylla
Laburnum anagyroides
Laburnum vulgare
Lantana aculeata
Lantana camara
Lantana tiliifolia
Laurus camphora
Leptospermum umbellatum
Leucanthemum maximum
Leucanthemum vulgare
Levisticum officinale
Levisticum paludapifolium
Leymus condensatus
Leymus triticoides
Libocedrus decurrens
Ligustrum lucidum
Ligustrum vulgare
Lilium longiflorum
Lilium martagon
Limonium sinuatum
Limonium tataricum
Liquidambar styraciflua
Lolium arundinaceum
Lolium italicum
Lolium multiflorum
Lolium perenne
Lupinus albus
Lycopersicon esculentum
Lycopersicon lycopersicum
Lycopersicum esculentum
Madhuca indica
Madhuca longifolia
Maerua arenaria
Maerua oblongifolia
Magnolia grandiflora
Mallotus nudiflorus
Mallotus philippensis
Malus domestica
Mangifera indica
Markhamia platycalyx
Medicago sativa
Megathyrsus maximus
Melaleuca leucadendron
Melaleuca quinquenervia
Melia australis
Melia azedarach
Melia japonica
Melia sempervirens
Melilotus alba
Melilotus albus
