name,pollen unit,dispersal unit and peculiarities,size (pollen unit),size of hydrated pollen (LM),shortest polar axis in equatorial view (LM),longest polar axis in equatorial view (LM),shortest diameter in equatorial or polar view (LM),longest diameter in equatorial or polar view (LM),pollen class,polarity,P/E-ratio,shape,outline in polar view,dominant orientation (LM),P/E-ratio (dry pollen),shape (dry pollen),outline in polar view (dry pollen),infoldings (dry pollen),aperture number,aperture type,aperture condition,aperture peculiarities,ornamentation LM,nexine,sexine,ornamentation SEM,suprasculpture SEM,tectum,infratectum,foot layer,endexine,intine,wall peculiarities,supratectal element,pollen coatings,reserves in cytoplasm,cell number,Ubisch bodies
Bombax ceiba,monad,monad,large (51-100 µm),-,-,-,-,-,colpate,isopolar,oblate,-,triangular,-,oblate,-,triangular,interapertural area sunken,3,colpus,"colpate, tricolpate","aperture membrane ornamented, planaperturate",-,-,-,"reticulate, microreticulate, free-standing columellae",-,-,-,-,-,-,-,-,-,-,-,present
Bombax malabaricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borassus flabellifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botrydium botrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bougainvillea spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bouteloua gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachiaria mutica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachiaria numidiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachiaria purpurascens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachypodium distachyon,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,ulcerate,heteropolar,-,spheroidal,circular,-,-,irregular,irregular,irregularly infolded,1,ulcus,ulcerate,"operculum, annulus",-,-,-,"microverrucate, microechinate",-,-,-,-,-,-,-,-,-,-,-,present
Brachypodium distachyum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachypodium miserum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachypodium pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachypodium sylvaticum,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,ulcerate,heteropolar,-,spheroidal,circular,-,-,irregular,irregular,irregularly infolded,1,ulcus,ulcerate,"operculum, annulus",-,-,-,"areolate, microechinate",-,-,-,-,-,-,-,-,absent,-,-,present
Brachypodium watti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassica alba,monad,monad,medium-sized (26-50 µm),26-30 µm,21-25 µm,26-30 µm,26-30 µm,26-30 µm,colpate,isopolar,isodiametric,spheroidal,circular,oblique,-,-,-,-,3,colpus,"colpate, tricolpate",-,reticulate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brassica campestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassica juncea,monad,monad,medium-sized (26-50 µm),26-30 µm,21-25 µm,26-30 µm,26-30 µm,26-30 µm,"colpate, colporate",isopolar,-,spheroidal,circular,oblique,-,-,-,-,3,colpus,"colpate, tricolpate",aperture membrane ornamented,reticulate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brassica napus,monad,monad,medium-sized (26-50 µm),26-30 µm,21-25 µm,21-25 µm,21-25 µm,21-25 µm,colpate,isopolar,prolate,-,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colpus,"colpate, tricolpate",aperture membrane ornamented,reticulate,-,-,"reticulate, heterobrochate, free-standing columellae",-,semitectate,columellate,continuous,absent,monolayered,-,-,tryphine,lipids,3-celled,absent
Brassica nigra,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,colpate,isopolar,prolate,-,circular,-,prolate,-,lobate,aperture(s) sunken,3,colpus,"colpate, tricolpate",aperture membrane ornamented,reticulate,-,-,reticulate,-,semitectate,columellate,discontinuous,compact-continuous,monolayered,-,-,tryphine,-,3-celled,absent
Brassica oleracea,monad,monad,-,26-30 µm,21-25 µm,26-30 µm,21-25 µm,21-25 µm,colpate,isopolar,prolate,-,circular,oblique,-,-,-,-,3,colpus,"colpate, tricolpate",-,reticulate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brassica rapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brevipodium sylvaticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus arundinaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus arvensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus dumosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus elatior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus geniculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus inermis,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,ulcerate,isopolar,-,spheroidal,circular,-,-,irregular,irregular,irregularly infolded,1,ulcus,ulcerate,"annulus, operculum",scabrate,-,-,microechinate,-,eutectate,columellate,continuous,absent,monolayered,-,-,absent,"starch, polysaccharide vesicles",3-celled,present
Bromus sylvaticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera,monad,monad,small (10-25 µm),11-15 µm,-,-,11-15 µm,11-15 µm,porate,isopolar,-,spheroidal,circular,oblique,-,irregular,irregular,irregularly infolded,2,porus,"porate, diporate",-,"scabrate,  verrucate,  gemmate",-,-,microechinate,-,-,-,-,-,-,-,-,-,-,-,-
Bucetum elatius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cacalia mentrasto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cactaceae spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caesalpinia pulcherrima,monad,monad,large (51-100 µm),51-100 µm,51-100 µm,51-100 µm,51-100 µm,51-100 µm,synaperturate,isopolar,-,spheroidal,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate","synaperturate, aperture membrane ornamented","scabrate,  verrucate,  gemmate",-,-,reticulate,-,-,-,-,-,-,-,-,-,-,-,-
Calendula officinalis,monad,monad,medium-sized (26-50 µm),31-35 µm,31-35 µm,31-35 µm,31-35 µm,31-35 µm,colporate,isopolar,-,spheroidal,circular,oblique,prolate,-,circular,aperture(s) sunken,3,colporus,"colporate, tricolporate",-,echinate,-,-,"echinate, perforate",-,-,-,-,-,-,-,-,-,-,-,-
Callistemon citrinus,monad,monad,-,"11-15 µm, 16-20 µm",11-15 µm,16-20 µm,16-20 µm,11-15 µm,colporate,isopolar,oblate,-,triangular,oblique,-,-,-,-,3,colporus,"colporate, tricolporate",-,psilate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Callistemon lanceolatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callistephus chinensis,monad,monad,small (10-25 µm),21-25 µm,21-25 µm,21-25 µm,21-25 µm,21-25 µm,colporate,isopolar,isodiametric,spheroidal,circular,oblique,-,-,-,-,3,colporus,"colporate, tricolporate",-,echinate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Callitris columellaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callitris glaucophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callitris verrucosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callitropsis macrocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calluna vulgaris,tetrad,tetrad tetrahedral,medium-sized (26-50 µm),31-35 µm,26-30 µm,31-35 µm,26-30 µm,31-35 µm,tetrad,heteropolar,-,spheroidal,circular,oblique,-,irregular,irregular,irregularly infolded,3,colporus,"porate, colporate",-,"scabrate,  verrucate,  gemmate",-,-,"verrucate, gemmate",-,-,-,-,-,-,-,-,-,-,-,present
Calocedrus decurrens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camellia japonica,monad,monad,medium-sized (26-50 µm),41-50 µm,36-40 µm,41-50 µm,41-50 µm,41-50 µm,colpate,isopolar,-,spheroidal,circular,oblique,prolate,-,triangular,aperture(s) sunken,3,colpus,"colpate, tricolpate",operculum,"granulate, scabrate, reticulate",-,-,microreticulate,-,-,-,-,-,-,-,-,-,-,-,-
Camphora camphora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canna coccinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canna indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannabis sativa,monad,monad,medium-sized (26-50 µm),26-30 µm,21-25 µm,21-25 µm,21-25 µm,21-25 µm,porate,isopolar,isodiametric,spheroidal,circular,oblique,-,irregular,irregular,irregularly infolded,3,porus,"porate, triporate",annulus,psilate,-,-,granulate,-,-,-,-,-,-,-,-,-,-,-,present
Capsicum annuum,monad,monad,medium-sized (26-50 µm),"21-25 µm, 26-30 µm, 31-35 µm",21-25 µm,26-30 µm,26-30 µm,26-30 µm,colporate,isopolar,isodiametric,spheroidal,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate",-,"scabrate,  verrucate,  gemmate",-,-,"microechinate, perforate",-,-,-,-,-,-,-,-,-,-,-,present
Carica papaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpinus betulus,monad,monad,medium-sized (26-50 µm),31-35 µm,31-35 µm,31-35 µm,31-35 µm,31-35 µm,porate,isopolar,-,spheroidal,circular,oblique,-,irregular,irregular,irregularly infolded,4,porus,"porate, tetraporate","operculum, oncus",psilate,-,-,"rugulate, microechinate",-,eutectate,granular,continuous,absent,monolayered,-,-,absent,starch,2-celled,present
Carya alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carya illinoensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carya illinoinensis,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,porate,heteropolar,oblate,-,circular,-,-,cup-shaped,circular,interapertural area sunken,3,porus,"porate, triporate",-,-,-,-,"microechinate, perforate",-,-,-,-,-,-,-,-,-,-,-,present
Carya laciniosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carya ovata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carya pecan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carya tomentosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryophyllus aromaticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryota mitis,monad,monad,small (10-25 µm),16-20 µm,16-20 µm,16-20 µm,-,-,sulcate,heteropolar,-,spheroidal,circular,oblique,-,-,-,-,1,sulcus,sulcate,-,"scabrate,  verrucate,  gemmate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cassia alata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia auriculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia boreensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia borneensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia fistula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia fistulosa,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,colporate,isopolar,-,spheroidal,circular,-,prolate,-,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate",-,-,-,-,"verrucate, perforate",-,-,-,-,-,-,-,-,-,-,-,present
Cassia fustula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia gallinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia marginata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia numilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia roxburghii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia siamea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassia tora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castanea crenata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castanea sativa,monad,monad,small (10-25 µm),11-15 µm,11-15 µm,11-15 µm,11-15 µm,11-15 µm,colporate,isopolar,prolate,-,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate",-,psilate,-,-,"rugulate, perforate",-,eutectate,columellate,continuous,compact-continuous,monolayered,-,-,absent,-,2-celled,present
Casuarina equisetifolia,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,porate,isopolar,oblate,-,circular,-,-,irregular,irregular,irregularly infolded,3,porus,"porate, triporate",annulus,-,-,-,"rugulate, microechinate",-,-,-,-,-,-,-,-,-,-,-,present
Catharanthus roseus,monad,monad,large (51-100 µm),-,-,-,-,-,colporate,isopolar,-,spheroidal,circular,-,prolate,-,no suitable term,interapertural area sunken,3,colporus,"colporate, tricolporate",-,-,-,-,perforate,-,-,-,-,-,-,-,-,-,-,-,present
Cedrus deodara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceiba speciosa,monad,monad,-,51-100 µm,41-50 µm,51-100 µm,51-100 µm,51-100 µm,colporate,isopolar,-,spheroidal,quadrangular,oblique,-,-,-,-,4,colporus,"colporate, tetracolporate",brevicolporus,"reticulate, free-standing columellae",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Celtis occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtis orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtis tala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenchrus ciliaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenchrus polystachios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenchrus retusus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cenchrus setosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratoides lanata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercidium floridum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamaecyparis obtusa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamaerops humilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamerion angustifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamerion spicatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium album,monad,monad,medium-sized (26-50 µm),26-30 µm,-,-,26-30 µm,26-30 µm,porate,isopolar,-,spheroidal,circular,polar,-,irregular,irregular,irregularly infolded,>6,porus,"porate, pantoporate","operculum, pantoaperturate","scabrate,  verrucate,  gemmate",-,-,"microechinate, perforate",-,eutectate,columellate,continuous,compact-discontinuous,monolayered,-,-,"pollenkitt, primexine matrix",starch,3-celled,present
Chenopodium ambrosioides,monad,monad,-,21-25 µm,-,-,21-25 µm,21-25 µm,porate,isopolar,-,spheroidal,circular,polar,-,-,-,-,>6,porus,"porate, pantoporate","operculum, pantoaperturate","scabrate,  verrucate,  gemmate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chenopodium botrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium multifidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium murale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium olidum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium vulvaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloris arundinacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloris barbata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloris consanguinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloris dandyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloris elata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloris polydactyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chorisa speciosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chorisia speciosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum cinerariaefolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum cinerariifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum hortorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum indicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum leucanthemum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum maximum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum morifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum segetum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysanthemum spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysocoma nauseosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysothamnus nauseosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamomum camphora,monad,monad,small (10-25 µm),-,-,-,-,-,inaperturate,isopolar,-,spheroidal,circular,-,-,spheroidal,circular,not infolded,none,no aperture,inaperturate,-,-,-,-,"microechinate, granulate",-,-,-,-,-,-,-,-,-,-,-,absent
Citrus clementina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus lemona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus limon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus limonum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleome gynandra,monad,monad,small (10-25 µm),16-20 µm,16-20 µm,16-20 µm,16-20 µm,16-20 µm,colporate,isopolar,-,spheroidal,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate",aperture membrane ornamented,"rugulate,  striate",-,-,"striate, perforate",-,-,-,-,-,-,-,-,-,-,-,absent
Cleome pentaphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clethropsis nitida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos nucifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos plumosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos romanzoffiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corozo oleifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corylus avellana,monad,monad,medium-sized (26-50 µm),26-30 µm,21-25 µm,21-25 µm,21-25 µm,21-25 µm,porate,isopolar,-,spheroidal,circular,oblique,oblate,-,triangular,interapertural area sunken,3,porus,"porate, triporate","annulus, operculum, oncus",psilate,-,-,"rugulate, granulate",-,eutectate,granular,continuous,absent,monolayered,-,-,absent,starch,2-celled,present
Corylus heterophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corymbia citriodora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmos spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crataegus spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crataeva nurvala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crateva nurvala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crescentia pinnata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crithodium urartu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocus sativus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton bonplandianum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton bonplandianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croton sparsiflorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptomeria japonica,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,-,heteropolar,-,spheroidal,circular,-,-,irregular,irregular,irregularly infolded,1,leptoma,-,-,scabrate,present,present,"microverrucate, microechinate, fossulate",-,eutectate,granular,continuous,lamellar-continuous,-,"papilla, adhering Ubisch bodies",-,-,-,-,present
Cupressus arizonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupressus hartwegii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupressus lambertiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupressus lindleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupressus lusitanica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupressus macrocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupressus sempervirens,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,inaperturate,isopolar,-,spheroidal,circular,-,prolate,-,lobate,irregularly infolded,none,no aperture,inaperturate,-,-,-,-,granulate,-,eutectate,-,-,-,-,adhering Ubisch bodies,-,absent,-,-,present
Cycas cicinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycas circinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycas undulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclachaena xanthifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclamen persicum,monad,monad,small (10-25 µm),11-15 µm,<10 µm,11-15 µm,11-15 µm,11-15 µm,colporate,isopolar,-,spheroidal,circular,oblique,-,-,-,-,3,colporus,"colporate, tricolporate",-,psilate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cylindropyrum cylindricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynodon dactylon,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,ulcerate,heteropolar,-,spheroidal,circular,-,-,irregular,irregular,irregularly infolded,1,ulcus,ulcerate,"annulus, operculum",-,-,-,"areolate, microechinate",-,-,-,-,-,-,-,-,-,-,-,present
Cynosurus cristatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus esculentus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperus rotundus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytisus scoparius,monad,monad,-,16-20 µm,16-20 µm,16-20 µm,16-20 µm,16-20 µm,colporate,isopolar,-,spheroidal,circular,oblique,-,-,-,-,3,colporus,"colporate, tricolporate",-,reticulate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dactylis glomerata,monad,monad,medium-sized (26-50 µm),26-30 µm,-,-,26-30 µm,26-30 µm,ulcerate,heteropolar,-,-,elliptic,oblique,-,irregular,irregular,irregularly infolded,1,ulcus,ulcerate,"operculum, annulus",psilate,-,-,"areolate, microechinate",-,-,-,-,-,-,-,-,absent,-,-,present
Dahlia spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delonix regia,monad,monad,large (51-100 µm),-,-,-,-,-,colporate,isopolar,-,spheroidal,circular,-,prolate,-,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate",-,-,-,-,"reticulate, free-standing columellae",-,-,-,-,-,-,-,-,-,-,-,present
Dendranthema grandiflorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendranthema indicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dendranthema morifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplotaxis erucoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distichlis spicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distichlis stricta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea ehrenbergii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea elaeagnoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea eriocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea jamaicensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea microcarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea sandwicensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea spathulata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea stenoptera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea viscosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolichandrone platycalyx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dysphania ambrosioides,monad,monad,small (10-25 µm),-,-,-,-,-,porate,isopolar,-,spheroidal,circular,-,-,irregular,irregular,irregularly infolded,>6,porus,"porate, pantoporate","aperture membrane ornamented, pantoaperturate",-,-,-,"microechinate, perforate",-,-,-,-,-,-,-,-,-,-,-,present
Echites scholaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echium lycopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echium plantagineum,monad,monad,small (10-25 µm),16-20 µm,-,-,11-15 µm,16-20 µm,colporate,heteropolar,prolate,-,circular,equatorial,prolate,-,circular,not infolded,3,colporus,"colporate, tricolporate",aperture membrane ornamented,reticulate,-,-,"perforate, microreticulate, granulate",-,-,-,-,-,-,-,-,-,-,-,absent
Ehretia aspera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ehretia laevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
