name,pollen unit,dispersal unit and peculiarities,size (pollen unit),size of hydrated pollen (LM),shortest polar axis in equatorial view (LM),longest polar axis in equatorial view (LM),shortest diameter in equatorial or polar view (LM),longest diameter in equatorial or polar view (LM),pollen class,polarity,P/E-ratio,shape,outline in polar view,dominant orientation (LM),P/E-ratio (dry pollen),shape (dry pollen),outline in polar view (dry pollen),infoldings (dry pollen),aperture number,aperture type,aperture condition,aperture peculiarities,ornamentation LM,nexine,sexine,ornamentation SEM,suprasculpture SEM,tectum,infratectum,foot layer,endexine,intine,wall peculiarities,supratectal element,pollen coatings,reserves in cytoplasm,cell number,Ubisch bodies
Agropyron cristatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropyron distachyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropyron repens,monad,monad,medium-sized (26-50 µm),41-50 µm,-,-,41-50 µm,41-50 µm,ulcerate,heteropolar,-,spheroidal,circular,oblique,-,-,-,-,1,ulcus,ulcerate,operculum,psilate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agropyron smithii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropyron sylvaticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis capillaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis elongata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis gigantea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis nigra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis stolonifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis tenacissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis tenuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis tenuissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima,monad,monad,medium-sized (26-50 µm),26-30 µm,21-25 µm,21-25 µm,21-25 µm,21-25 µm,colporate,isopolar,-,spheroidal,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate",-,striato-reticulate,-,-,striato-reticulate,-,semitectate,columellate,absent,compact-continuous,bilayered,-,-,pollenkitt,starch,2-celled,absent
Ailanthus excelsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albizia lebbeck,polyad,polyad,large (51-100 µm),-,-,-,-,-,polyad,heteropolar,-,-,quadrangular,-,-,-,-,not infolded,none,no aperture,inaperturate,-,-,-,-,"psilate, perforate, fossulate",-,-,-,-,-,-,-,-,-,-,-,present
Allenrolfea occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus glutinosa,monad,monad,medium-sized (26-50 µm),21-25 µm,21-25 µm,21-25 µm,21-25 µm,21-25 µm,porate,isopolar,oblate,-,polygonal,oblique,oblate,-,polygonal,interapertural area sunken,5,porus,"porate, stephanoporate",stephanoaperturate,psilate,-,-,"microrugulate, microechinate",-,eutectate,granular,continuous,absent,monolayered,arcus,-,absent,lipids,2-celled,present
Alnus incana,monad,monad,small (10-25 µm),21-25 µm,16-20 µm,21-25 µm,21-25 µm,21-25 µm,porate,isopolar,oblate,-,circular,oblique,oblate,-,polygonal,interapertural area sunken,5,porus,"porate, tetraporate",stephanoaperturate,psilate,-,-,"microrugulate, microechinate",-,-,-,-,-,-,arcus,-,-,-,-,present
Alnus japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus jorullensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus maximowiczii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus nitida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus rhombifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus rubra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus rugosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus sieboldiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus viridis,monad,monad,small (10-25 µm),-,-,-,-,-,porate,isopolar,-,spheroidal,circular,-,oblate,-,irregular,interapertural area sunken,5,porus,"porate, stephanoporate",stephanoaperturate,-,-,-,"microrugulate, microechinate",-,-,-,-,-,-,arcus,-,absent,-,-,present
Aloe barbadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloe vera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloe vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alopecurus pratensis,monad,monad,medium-sized (26-50 µm),31-35 µm,-,-,31-35 µm,31-35 µm,ulcerate,heteropolar,-,spheroidal,circular,oblique,-,irregular,irregular,irregularly infolded,1,ulcus,ulcerate,"operculum, annulus",psilate,-,-,microechinate,-,eutectate,columellate,continuous,absent,monolayered,-,-,absent,"polysaccharide vesicles, starch",3-celled,present
Alstonia scholaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alstroemeria andina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus albus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus deflexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus hybridus,monad,monad,medium-sized (26-50 µm),26-30 µm,-,-,26-30 µm,26-30 µm,porate,isopolar,-,spheroidal,circular,polar,-,-,-,-,>6,porus,"porate, pantoporate",aperture membrane ornamented,"scabrate,  verrucate,  gemmate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amaranthus muricatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus palmeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus retroflexus,monad,monad,small (10-25 µm),26-30 µm,-,-,26-30 µm,26-30 µm,porate,isopolar,isodiametric,spheroidal,circular,polar,-,irregular,irregular,irregularly infolded,>6,porus,"porate, pantoporate","aperture membrane ornamented, pantoaperturate","scabrate,  verrucate,  gemmate",-,-,"microechinate, perforate",-,-,-,-,-,-,-,-,-,-,-,present
Amaranthus rudis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus spinosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus tamariscinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus tuberculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus viridis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia acanthicarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia artemisiifolia,monad,monad,small (10-25 µm),16-20 µm,16-20 µm,16-20 µm,16-20 µm,16-20 µm,colporate,isopolar,-,spheroidal,circular,oblique,-,spheroidal,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate",brevicolporus,echinate,present,present,"echinate, perforate",-,eutectate,columellate,absent,lamellar-continuous,monolayered,-,-,absent,-,3-celled,absent
Ambrosia bidentata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia confertiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia deltoidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia dumosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia elatior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia maritima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia psilostachya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia trifida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amygdalus communis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amygdalus persica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon barbatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon besukiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon contortum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon contortus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon firmus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon glaber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon polydactylos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andropogon secundus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aneurolepidium condensatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthoxanthum odoratum,monad,monad,medium-sized (26-50 µm),41-50 µm,-,-,41-50 µm,41-50 µm,ulcerate,heteropolar,prolate,-,circular,oblique,-,irregular,irregular,irregularly infolded,1,ulcus,ulcerate,"annulus, operculum",psilate,-,-,microreticulate,-,-,-,-,-,-,-,-,absent,-,-,present
Arabidopsis thaliana,monad,monad,small (10-25 µm),-,-,-,-,-,colpate,isopolar,prolate,-,circular,-,prolate,-,lobate,aperture(s) sunken,3,colpus,"colpate, tricolpate",-,-,-,-,reticulate,-,-,-,-,-,-,-,-,-,-,-,absent
Areca catechu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arecastrum romanzoffianum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argemone leiocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argemone mexicana,monad,monad,-,36-40 µm,31-35 µm,31-35 µm,36-40 µm,36-40 µm,colpate,isopolar,-,spheroidal,circular,oblique,-,-,-,-,3,colpus,"colpate, tricolpate",aperture membrane ornamented,"scabrate,  verrucate,  gemmate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aristida spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrhenatherum elatius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrhenatherum pratense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia absinthium,monad,monad,-,"16-20 µm, 21-25 µm",16-20 µm,16-20 µm,16-20 µm,16-20 µm,colporate,isopolar,-,spheroidal,circular,oblique,-,-,-,-,3,colporus,"colporate, tricolporate",-,"echinate, gemmate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Artemisia annua,monad,monad,small (10-25 µm),"16-20 µm, 21-25 µm",16-20 µm,21-25 µm,21-25 µm,21-25 µm,colporate,isopolar,-,-,circular,oblique,-,-,-,-,3,colporus,"colporate, tricolporate",-,"echinate, verrucate, gemmate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Artemisia apiacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia argyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia californica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia capillaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia douglasiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia frigida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia gmelinii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia lavandulifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia ludoviciana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia princeps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia sacrorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia scoparia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia sieversiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia tridentata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemisia vulgaris,monad,monad,small (10-25 µm),"16-20 µm, 21-25 µm",16-20 µm,21-25 µm,16-20 µm,16-20 µm,colporate,isopolar,-,spheroidal,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colporus,"colporate, triporate",-,echinate,-,-,"microechinate, granulate",-,-,-,-,-,-,-,-,-,-,3-celled,absent
Asphodelus fistulosus,monad,monad,large (51-100 µm),-,-,-,-,-,sulcate,heteropolar,isodiametric,-,elliptic,-,-,boat-shaped,no suitable term,no suitable term,1,sulcus,sulcate,-,-,-,-,reticulate,-,-,-,-,-,-,-,-,-,-,-,present
Asphodelus tenuifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aster chinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex canescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex confertifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex halimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex jonesii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex lentiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex littoralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex patula,monad,monad,small (10-25 µm),21-25 µm,-,-,21-25 µm,21-25 µm,porate,isopolar,-,spheroidal,circular,polar,-,cup-shaped,no suitable term,no suitable term,>6,porus,"porate, pantoporate","pantoaperturate, aperture membrane ornamented","scabrate,  verrucate,  gemmate",-,-,"microechinate, perforate",-,eutectate,columellate,continuous,absent,monolayered,-,-,"pollenkitt, primexine matrix",starch,3-celled,present
Atriplex polycarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex subconferta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atriplex wrightii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avena elatior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avena pratensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avena sativa,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,ulcerate,heteropolar,-,spheroidal,circular,-,-,irregular,irregular,irregularly infolded,1,ulcus,ulcerate,"operculum, annulus",scabrate,-,-,microverrucate,-,eutectate,columellate,continuous,absent,monolayered,-,-,absent,"starch, polysaccharide vesicles",3-celled,present
Avena secunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenochloa pratensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenula pratense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenula pratensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avicennia marina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azadirachta indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azara microphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baccharis spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bassia scoparia,monad,monad,medium-sized (26-50 µm),31-35 µm,-,-,31-35 µm,31-35 µm,porate,isopolar,-,spheroidal,circular,polar,-,irregular,irregular,irregularly infolded,>6,porus,porate,"operculum, pantoaperturate","scabrate, verrucate, gemmate",-,-,"microechinate, microverrucate",-,eutectate,columellate,continuous,absent,monolayered,-,-,"pollenkitt, primexine matrix",starch,3-celled,present
Batrachium sceleratus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beta vulgaris,monad,monad,small (10-25 µm),16-20 µm,-,-,16-20 µm,16-20 µm,porate,isopolar,isodiametric,spheroidal,circular,polar,-,-,-,-,>6,porus,"porate, pantoporate",-,psilate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Betula alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula albo-sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula albosinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula alleghaniensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula beeniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula chichibuensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula costata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula dahurica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula davurica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula exilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula fontinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula glandulosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula grossa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula humilis,monad,monad,medium-sized (26-50 µm),26-30 µm,-,-,26-30 µm,26-30 µm,porate,isopolar,-,spheroidal,circular,oblique,-,irregular,irregular,irregularly infolded,3,porus,"porate, triporate","annulus, operculum, oncus",psilate,-,-,"rugulate, microechinate",-,eutectate,columellate,continuous,absent,monolayered,-,-,absent,starch,2-celled,present
Betula lenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula lutea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula medwedewii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula medwediewii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula michauxii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula nana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula nigra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula papyrifera,monad,monad,small (10-25 µm),21-25 µm,16-20 µm,21-25 µm,21-25 µm,21-25 µm,porate,isopolar,-,spheroidal,circular,oblique,-,-,-,-,3,porus,"porate, triporate","annulus, operculum, oncus",psilate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Betula pendula,monad,monad,small (10-25 µm),21-25 µm,16-20 µm,21-25 µm,21-25 µm,21-25 µm,porate,isopolar,-,spheroidal,circular,oblique,-,irregular,irregular,"irregularly infolded, interapertural area sunken",3,porus,"porate, triporate","annulus, operculum, oncus",psilate,-,-,"rugulate, microechinate",-,eutectate,columellate,continuous,absent,monolayered,-,-,absent,starch,2-celled,present
Betula platyphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula populifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula schmidtii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula terrae-novae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula utilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betula verrucosa,monad,monad,-,21-25 µm,16-20 µm,21-25 µm,21-25 µm,21-25 µm,porate,isopolar,-,spheroidal,circular,oblique,-,-,-,-,3,porus,-,-,psilate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bignonia africana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bistorta spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boehmeria nivea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
